        Time / ps                E-Field (Y; 0 0 1000) [1]/real
               1.9180682                               0
               1.9225919                               0
               1.9271157                               0
               1.9316394                               0
               1.9361632                               0
               1.9406869                               0
               1.9452107                               0
               1.9497344                               0
               1.9542582                               0
               1.9587819                               0
               1.9633056                               0
               1.9678294                               0
               1.9723531                               0
               1.9768769                               0
               1.9814006                               0
               1.9859244                               0
               1.9904481                               0
               1.9949719                               0
               1.9994956                               0
               2.0040194                               0
               2.0085431                               0
               2.0130668                               0
               2.0175906                               0
               2.0221143                               0
               2.0266381                               0
               2.0311618                               0
               2.0356856                               0
               2.0402093                               0
               2.0447331                               0
               2.0492568                               0
               2.0537806                               0
               2.0583043                               0
               2.0628281                               0
               2.0673518                               0
               2.0718755                               0
               2.0763993                               0
                2.080923                               0
               2.0854468                               0
               2.0899705                               0
               2.0944943                               0
                2.099018                               0
               2.1035418                               0
               2.1080655                               0
               2.1125893                               0
                2.117113                               0
               2.1216367                               0
               2.1261605                               0
               2.1306842                               0
                2.135208                               0
               2.1397317                               0
               2.1442555                               0
               2.1487792                               0
                2.153303                               0
               2.1578267                               0
               2.1623505                               0
               2.1668742                               0
                2.171398                               0
               2.1759217                               0
               2.1804454                               0
               2.1849692                               0
               2.1894929                               0
               2.1940167                               0
               2.1985404                               0
               2.2030642                               0
               2.2075879                               0
               2.2121117                               0
               2.2166354                               0
               2.2211592                               0
               2.2256829                               0
               2.2302066                               0
               2.2347304                               0
               2.2392541                               0
               2.2437779                               0
               2.2483016                               0
               2.2528254                               0
               2.2573491                               0
               2.2618729                               0
               2.2663966                               0
               2.2709204                               0
               2.2754441                               0
               2.2799678                               0
               2.2844916                               0
               2.2890153                               0
               2.2935391                               0
               2.2980628                               0
               2.3025866                               0
               2.3071103                               0
               2.3116341                               0
               2.3161578                               0
               2.3206816                               0
               2.3252053                               0
               2.3297291                               0
               2.3342528                               0
               2.3387765                               0
               2.3433003                               0
                2.347824                               0
               2.3523478                               0
               2.3568715                               0
               2.3613953                               0
                2.365919                               0
               2.3704428                               0
               2.3749665                               0
               2.3794903                               0
                2.384014                               0
               2.3885377                               0
               2.3930615                               0
               2.3975852                               0
                2.402109                               0
               2.4066327                               0
               2.4111565                               0
               2.4156802                               0
                2.420204                               0
               2.4247277                               0
               2.4292515                               0
               2.4337752                               0
               2.4382989                               0
               2.4428227                               0
               2.4473464                               0
               2.4518702                               0
               2.4563939                               0
               2.4609177                               0
               2.4654414                               0
               2.4699652                               0
               2.4744889                               0
               2.4790127                               0
               2.4835364                               0
               2.4880602                               0
               2.4925839                               0
               2.4971076                               0
               2.5016314                               0
               2.5061551                               0
               2.5106789                               0
               2.5152026                               0
               2.5197264                               0
               2.5242501                               0
               2.5287739                               0
               2.5332976                               0
               2.5378214                               0
               2.5423451                               0
               2.5468688                               0
               2.5513926                               0
               2.5559163                               0
               2.5604401                               0
               2.5649638                               0
               2.5694876                               0
               2.5740113                               0
               2.5785351                               0
               2.5830588                               0
               2.5875826                               0
               2.5921063                               0
                 2.59663                               0
               2.6011538                               0
               2.6056775                               0
               2.6102013                               0
                2.614725                               0
               2.6192488                               0
               2.6237725                               0
               2.6282963                               0
                 2.63282                               0
               2.6373438                               0
               2.6418675                               0
               2.6463913                               0
                2.650915                               0
               2.6554387                               0
               2.6599625                               0
               2.6644862                               0
                 2.66901                               0
               2.6735337                               0
               2.6780575                               0
               2.6825812                               0
                2.687105                               0
               2.6916287                               0
               2.6961525                               0
               2.7006762                               0
               2.7051999                               0
               2.7097237                               0
               2.7142474                               0
               2.7187712                               0
               2.7232949                               0
               2.7278187                               0
               2.7323424                               0
               2.7368662                               0
               2.7413899                               0
               2.7459137                               0
               2.7504374                               0
               2.7549611                               0
               2.7594849                               0
               2.7640086                               0
               2.7685324                               0
               2.7730561                               0
               2.7775799                               0
               2.7821036                               0
