        Frequency / THz                Eps'/real
              0.59750754                       2.3855114
              0.59969968                       2.3864989
              0.60189188                       2.3874927
              0.60408407                       2.3884907
              0.60627627                       2.3894916
              0.60846847                       2.3904941
              0.61066067                       2.3914969
              0.61285287                        2.392499
              0.61504507                       2.3934989
              0.61723721                        2.394496
              0.61942941                       2.3954895
              0.62162161                       2.3964784
              0.62381381                       2.3974621
              0.62600601                       2.3984401
              0.62819821                       2.3994119
              0.62838161                       2.3994927
              0.63039041                       2.4003766
               0.6325826                        2.401334
               0.6347748                       2.4022839
              0.63696694                       2.4032254
              0.63915914                       2.4041588
              0.64135134                       2.4050837
              0.64354354                       2.4059997
              0.64573574                       2.4069064
              0.64792794                        2.407804
              0.65012014                       2.4086924
              0.65231234                       2.4095712
              0.65450448                       2.4104404
              0.65669668                       2.4113002
              0.65888888                       2.4121501
              0.66108108                       2.4129903
              0.66327327                       2.4138207
              0.66356629                       2.4139309
              0.66546547                       2.4146414
              0.66765767                       2.4154525
              0.66984987                       2.4162538
              0.67204207                       2.4170454
              0.67423421                       2.4178274
              0.67642641                       2.4185996
              0.67861861                       2.4193623
              0.68081081                       2.4201157
              0.68300301                       2.4208596
              0.68519521                       2.4215941
              0.68738741                       2.4223194
              0.68957961                       2.4230354
              0.69177175                       2.4237425
              0.69396394                       2.4244406
              0.69615614                       2.4251297
              0.69834834                       2.4258101
              0.70054054                       2.4264817
              0.70072103                       2.4265366
              0.70273274                       2.4271448
              0.70492494                       2.4277992
              0.70711714                       2.4284453
              0.70930928                       2.4290831
              0.71150148                       2.4297128
              0.71369368                       2.4303343
              0.71588588                        2.430948
              0.71807808                       2.4315536
              0.72027028                       2.4321518
              0.72246248                       2.4327421
              0.72465467                       2.4333248
              0.72684687                       2.4339001
              0.72903901                       2.4344683
              0.73123121                        2.435029
              0.73342341                       2.4355826
              0.73561561                       2.4361293
              0.73780781                       2.4366689
              0.73995614                       2.4371912
              0.74000001                       2.4372017
              0.74219221                       2.4377279
              0.74438441                       2.4382477
              0.74657655                       2.4387605
              0.74876875                       2.4392672
              0.75096095                       2.4397676
              0.75315315                       2.4402616
              0.75534534                       2.4407494
              0.75753754                       2.4412315
              0.75972974                       2.4417074
              0.76192194                       2.4421773
              0.76411414                       2.4426417
              0.76630628                       2.4431002
              0.76849848                       2.4435532
              0.77069068                       2.4440007
              0.77288288                       2.4444427
              0.77507508                       2.4448795
              0.77726728                       2.4453111
              0.77945948                       2.4457374
              0.78138816                       2.4461081
              0.78165168                       2.4461584
              0.78384382                       2.4465747
              0.78603601                       2.4469857
              0.78822821                        2.447392
              0.79042041                       2.4477935
              0.79261261                       2.4481902
              0.79480481                       2.4485824
              0.79699701                       2.4489698
              0.79918921                        2.449353
              0.80138141                       2.4497316
              0.80357355                       2.4501057
              0.80576575                       2.4504755
              0.80795795                       2.4508412
              0.81015015                       2.4512026
              0.81234235                       2.4515598
              0.81453454                       2.4519131
              0.81672674                       2.4522622
              0.81891894                       2.4526074
              0.82111108                       2.4529488
