        Time / ps                E-Field (Y; 0 0 1000) [1]/real
               2.0581704                               0
               2.0626939                               0
               2.0672173                               0
               2.0717408                               0
               2.0762642                               0
               2.0807877                               0
               2.0853111                               0
               2.0898346                               0
                2.094358                               0
               2.0988815                               0
               2.1034049                               0
               2.1079284                               0
               2.1124518                               0
               2.1169753                               0
               2.1214987                               0
               2.1260222                               0
               2.1305456                               0
               2.1350691                               0
               2.1395925                               0
                2.144116                               0
               2.1486395                               0
               2.1531629                               0
               2.1576864                               0
               2.1622098                               0
               2.1667333                               0
               2.1712567                               0
               2.1757802                               0
               2.1803036                               0
               2.1848271                               0
               2.1893505                               0
                2.193874                               0
               2.1983974                               0
               2.2029209                               0
               2.2074443                               0
               2.2119678                               0
               2.2164912                               0
               2.2210147                               0
               2.2255381                               0
               2.2300616                               0
                2.234585                               0
               2.2391085                               0
               2.2436319                               0
               2.2481554                               0
               2.2526788                               0
               2.2572023                               0
               2.2617257                               0
               2.2662492                               0
               2.2707726                               0
               2.2752961                               0
               2.2798195                               0
                2.284343                               0
               2.2888664                               0
               2.2933899                               0
               2.2979134                               0
               2.3024368                               0
               2.3069603                               0
               2.3114837                               0
               2.3160072                               0
               2.3205306                               0
               2.3250541                               0
               2.3295775                               0
                2.334101                               0
               2.3386244                               0
               2.3431479                               0
               2.3476713                               0
               2.3521948                               0
               2.3567182                               0
               2.3612417                               0
               2.3657651                               0
               2.3702886                               0
                2.374812                               0
               2.3793355                               0
               2.3838589                               0
               2.3883824                               0
               2.3929058                               0
               2.3974293                               0
               2.4019527                               0
               2.4064762                               0
               2.4109996                               0
               2.4155231                               0
               2.4200465                               0
                 2.42457                               0
               2.4290934                               0
               2.4336169                               0
               2.4381403                               0
               2.4426638                               0
               2.4471873                               0
               2.4517107                               0
               2.4562342                               0
               2.4607576                               0
               2.4652811                               0
               2.4698045                               0
                2.474328                               0
               2.4788514                               0
               2.4833749                               0
               2.4878983                               0
               2.4924218                               0
               2.4969452                               0
               2.5014687                               0
               2.5059921                               0
               2.5105156                               0
                2.515039                               0
               2.5195625                               0
               2.5240859                               0
               2.5286094                               0
               2.5331328                               0
               2.5376563                               0
               2.5421797                               0
               2.5467032                               0
               2.5512266                               0
               2.5557501                               0
               2.5602735                               0
                2.564797                               0
               2.5693204                               0
               2.5738439                               0
               2.5783673                               0
               2.5828908                               0
               2.5874142                               0
               2.5919377                               0
               2.5964611                               0
               2.6009846                               0
               2.6055081                               0
               2.6100315                               0
                2.614555                               0
               2.6190784                               0
               2.6236019                               0
               2.6281253                               0
               2.6326488                               0
               2.6371722                               0
               2.6416957                               0
               2.6462191                               0
               2.6507426                               0
                2.655266                               0
               2.6597895                               0
               2.6643129                               0
               2.6688364                               0
