        Frequency / THz                Eps''/real
              0.57120121                       1.5734476
               0.5733934                        1.567432
               0.5755856                       1.5614623
               0.5777778                       1.5555378
              0.57996994                       1.5496582
              0.58216214                       1.5438228
              0.58435434                       1.5380311
              0.58654654                       1.5322828
              0.58873874                       1.5265772
              0.59093094                       1.5209141
              0.59312314                       1.5152928
              0.59506255                        1.510354
              0.59531534                       1.5097128
              0.59750754                       1.5041739
              0.59969968                       1.4986753
              0.60189188                        1.493217
              0.60408407                       1.4877981
              0.60627627                       1.4824185
              0.60846847                       1.4770776
              0.61066067                       1.4717752
              0.61285287                       1.4665105
              0.61504507                       1.4612834
              0.61723721                       1.4560935
              0.61942941                       1.4509404
              0.62162161                       1.4458236
              0.62381381                       1.4407426
              0.62600601                       1.4356973
              0.62819821                       1.4306873
              0.62838161                       1.4302697
              0.63039041                       1.4257121
               0.6325826                       1.4207714
               0.6347748                       1.4158647
              0.63696694                       1.4109918
              0.63915914                       1.4061524
              0.64135134                       1.4013461
              0.64354354                       1.3965725
              0.64573574                       1.3918313
              0.64792794                       1.3871222
              0.65012014                       1.3824447
              0.65231234                       1.3777989
              0.65450448                       1.3731841
              0.65669668                       1.3686001
              0.65888888                       1.3640467
              0.66108108                       1.3595234
              0.66327327                       1.3550299
              0.66356629                       1.3544316
              0.66546547                       1.3505663
              0.66765767                       1.3461318
              0.66984987                       1.3417263
              0.67204207                       1.3373497
              0.67423421                       1.3330014
              0.67642641                       1.3286813
              0.67861861                       1.3243892
              0.68081081                       1.3201247
              0.68300301                       1.3158876
              0.68519521                       1.3116776
              0.68738741                       1.3074944
              0.68957961                       1.3033378
              0.69177175                       1.2992077
              0.69396394                       1.2951035
              0.69615614                       1.2910253
              0.69834834                       1.2869726
              0.70054054                       1.2829453
              0.70072103                       1.2826148
              0.70273274                       1.2789431
              0.70492494                       1.2749658
              0.70711714                       1.2710131
              0.70930928                        1.267085
              0.71150148                        1.263181
              0.71369368                       1.2593009
              0.71588588                       1.2554448
              0.71807808                       1.2516121
              0.72027028                       1.2478027
              0.72246248                       1.2440164
              0.72465467                       1.2402531
              0.72684687                       1.2365124
              0.72903901                       1.2327943
              0.73123121                       1.2290984
              0.73342341                       1.2254246
              0.73561561                       1.2217728
              0.73780781                       1.2181426
              0.73995614                        1.214606
              0.74000001                        1.214534
              0.74219221                       1.2109467
              0.74438441                       1.2073805
              0.74657655                       1.2038352
              0.74876875                       1.2003107
              0.75096095                       1.1968068
              0.75315315                       1.1933233
              0.75534534                         1.18986
              0.75753754                       1.1864167
              0.75972974                       1.1829933
              0.76192194                       1.1795896
              0.76411414                       1.1762054
              0.76630628                       1.1728406
              0.76849848                        1.169495
              0.77069068                       1.1661685
              0.77288288                       1.1628608
              0.77507508                       1.1595718
              0.77726728                       1.1563014
              0.77945948                       1.1530493
              0.78138816                       1.1502032
              0.78165168                       1.1498154
              0.78384382                       1.1465998
              0.78603601                        1.143402
              0.78822821                       1.1402221
              0.79042041                       1.1370597
              0.79261261                       1.1339148
              0.79480481                       1.1307873
              0.79699701                        1.127677
              0.79918921                       1.1245837
              0.80138141                       1.1215074
              0.80357355                       1.1184479
              0.80576575                        1.115405
              0.80795795                       1.1123786
              0.81015015                       1.1093687
              0.81234235                       1.1063749
              0.81453454                       1.1033973
              0.81672674                       1.1004356
              0.81891894                       1.0974898
              0.82111108                       1.0945598
              0.82330328                       1.0916452
                 0.82514                       1.0892154
              0.82549548                       1.0887463
              0.82768768                       1.0858626
              0.82987988                       1.0829943
              0.83207208                       1.0801411
              0.83426428                       1.0773027
              0.83645648                       1.0744793
              0.83864868                       1.0716707
              0.84084082                       1.0688767
              0.84303302                       1.0660973
              0.84522521                       1.0633322
              0.84741741                       1.0605814
              0.84960961                       1.0578449
              0.85180181                       1.0551224
              0.85399401                       1.0524139
              0.85618621                       1.0497193
              0.85837835                       1.0470384
              0.86057055                       1.0443712
              0.86276275                       1.0417176
              0.86495495                       1.0390774
              0.86714715                       1.0364506
              0.86933935                        1.033837
              0.87134165                       1.0314612
              0.87153155                       1.0312365
              0.87372375                       1.0286492
              0.87591594                       1.0260748
              0.87810808                       1.0235131
              0.88030028                       1.0209643
              0.88249248                       1.0184281
              0.88468468                       1.0159045
              0.88687688                       1.0133934
              0.88906908                       1.0108947
              0.89126128                       1.0084082
              0.89345348                        1.005934
              0.89564562                       1.0034719
              0.89783782                       1.0010217
              0.90003002                      0.99858356
              0.90222222                      0.99615723
              0.90441442                      0.99374264
              0.90660661                      0.99133974
              0.90879881                      0.98894846
              0.91099101                      0.98656869
              0.91318321                       0.9842003
              0.91537535                      0.98184329
              0.91756755                      0.97949755
              0.91975975                      0.97716296
              0.92013025                      0.97676951
              0.92195195                      0.97483951
              0.92414415                      0.97252703
              0.92633635                      0.97022557
              0.92852855                      0.96793491
              0.93072075                      0.96565509
              0.93291289                      0.96338594
              0.93510509                      0.96112746
              0.93729728                      0.95887953
              0.93948948                      0.95664209
              0.94168168                      0.95441508
              0.94387388                      0.95219839
              0.94606608                        0.949992
              0.94825828                      0.94779581
              0.95045048                      0.94560969
              0.95264262                       0.9434337
              0.95483482                      0.94126767
              0.95702702                      0.93911159
              0.95921922                      0.93696535
              0.96141142                      0.93482888
              0.96360362                      0.93270218
              0.96579581                      0.93058509
              0.96798801                      0.92847764
              0.97018015                      0.92637968
              0.97165066                      0.92497766
              0.97237235                      0.92429113
              0.97456455                      0.92221206
              0.97675675                      0.92014229
              0.97894895                      0.91808176
              0.98114115                      0.91603047
              0.98333335                      0.91398829
              0.98552555                      0.91195524
              0.98771769                      0.90993118
              0.98990989                      0.90791613
              0.99210209                      0.90590996
