        Frequency / THz                Eps'' (Fit)/real
              0.84084082                       2.9445255
              0.84303302                       2.9403143
              0.84522521                       2.9361269
              0.84741741                        2.931963
              0.84960961                       2.9278224
              0.85180181                       2.9237049
              0.85399401                         2.91961
              0.85618621                       2.9155381
              0.85837835                       2.9114885
              0.86057055                       2.9074614
              0.86276275                        2.903456
              0.86495495                       2.8994727
              0.86714715                       2.8955109
              0.86933935                       2.8915708
              0.87134165                       2.8879902
              0.87153155                       2.8876517
              0.87372375                       2.8837538
              0.87591594                       2.8798769
              0.87810808                       2.8760204
              0.88030028                       2.8721848
              0.88249248                       2.8683693
              0.88468468                        2.864574
              0.88687688                       2.8607986
              0.88906908                        2.857043
              0.89126128                        2.853307
              0.89345348                       2.8495905
              0.89564562                       2.8458934
              0.89783782                       2.8422153
              0.90003002                       2.8385563
              0.90222222                       2.8349159
              0.90441442                       2.8312941
              0.90660661                       2.8276906
              0.90879881                       2.8241055
              0.91099101                       2.8205388
              0.91318321                       2.8169897
              0.91537535                       2.8134584
              0.91756755                       2.8099451
              0.91975975                       2.8064489
              0.92013025                       2.8058598
              0.92195195                       2.8029702
              0.92414415                       2.7995088
              0.92633635                       2.7960644
              0.92852855                       2.7926369
              0.93072075                       2.7892261
              0.93291289                       2.7858319
              0.93510509                       2.7824543
              0.93729728                       2.7790928
              0.93948948                       2.7757475
              0.94168168                       2.7724185
              0.94387388                       2.7691052
              0.94606608                       2.7658076
              0.94825828                       2.7625258
              0.95045048                       2.7592595
              0.95264262                       2.7560086
              0.95483482                       2.7527728
              0.95702702                       2.7495522
              0.95921922                       2.7463467
              0.96141142                        2.743156
              0.96360362                         2.73998
              0.96579581                       2.7368186
              0.96798801                       2.7336717
              0.97018015                       2.7305391
              0.97165066                       2.7284458
              0.97237235                       2.7274208
              0.97456455                       2.7243166
              0.97675675                       2.7212265
              0.97894895                       2.7181501
              0.98114115                       2.7150877
              0.98333335                       2.7120388
              0.98552555                       2.7090034
              0.98771769                       2.7059815
              0.98990989                       2.7029729
              0.99210209                       2.6999776
              0.99429429                       2.6969955
              0.99648649                       2.6940262
              0.99867868                       2.6910698
               1.0008708                       2.6881263
               1.0030631                       2.6851954
               1.0052552                       2.6822772
               1.0074475                       2.6793714
               1.0096396                       2.6764779
               1.0118319                       2.6735966
                1.014024                       2.6707275
               1.0162162                       2.6678708
               1.0184084                       2.6650257
               1.0206006                       2.6621926
               1.0227928                       2.6593711
                1.024985                       2.6565616
               1.0260558                       2.6551933
               1.0271772                       2.6537635
